Layer 1 - Generation Transfomers (Step-Up Transformers),,,,,,,,,,,,,
Transformer ID,From,To,Description,Hv Level (kv),LV Level (kv),,Coordinates,Notes,,,,,
SS11,S9,SS11,East Primary,10,130,230,69,60,450,"(-2,1)",230/69 kV step-down,,
SS12,S10,SS12,North-Central Primary,9,150,230,69,85,700,"(1,-1)",230/69 kV step-down,,
SS13,S11,SS13,South-Central Primary,7,160,230,69,90,800,"(1,2)",230/69 kV step-down,,
SS14,S12,SS14,Urban Primary,6,200,230,69,100,850,"(1,1)",230/69 kV step-down,,
SS15,S13,SS15,Rural Primary,5,170,230,69,75,680,"(2,2)",230/69 kV step-down,,
SS16,S14,SS16,New Area Primary,8,190,230,69,95,780,"(1,-2)",230/69 kV step-down,,
SS17,S15,SS17,Coastal Primary,11,210,230,69,120,900,"(2,1)",230/69 kV step-down,,
SS18,S16,SS18,Industrial Primary,7,230,230,69,110,850,"(1,1)",230/69 kV step-down,,
SS19,S17,SS19,Manufacturing Primary,5,180,230,69,80,600,"(1,2)",230/69 kV step-down,,
SS20,S18,SS20,Residential Primary,6,150,230,69,70,500,"(-1,-2)",230/69 kV step-down,,
SS21,S19,SS21,Commercial Primary,12,140,230,69,60,450,"(2,2)",230/69 kV step-down,,
SS22,S20,SS22,Suburban Primary,10,130,230,69,55,420,"(1,-1)",230/69 kV step-down,,
SS23,S21,SS23,Urban Expansion Primary,11,160,230,69,90,750,"(1,1)",230/69 kV step-down,,
SS24,S22,SS24,Downtown Primary,9,200,230,69,100,850,"(2,1)",230/69 kV step-down,,
SS25,S23,SS25,Metro Primary,8,180,230,69,75,600,"(1,2)",230/69 kV step-down,,
SS26,S24,SS26,Urban Center Primary,10,190,230,69,95,800,"(1,-1)",230/69 kV step-down,,
SS27,S25,SS27,City Limits Primary,12,220,230,69,130,950,"(2,2)",230/69 kV step-down,,
SS28,S26,SS28,County Line Primary,6,150,230,69,70,500,"(1,1)",230/69 kV step-down,,
SS29,S27,SS29,Area Development Primary,5,160,230,69,75,600,"(1,-2)",230/69 kV step-down,,
SS30,S28,SS30,New Development Primary,7,170,230,69,80,680,"(1,1)",230/69 kV step-down,,
SS31,S29,SS31,Future Expansion Primary,8,180,230,69,85,700,"(1,1)",230/69 kV step-down,,
SS32,S30,SS32,Eastern Edge Primary,9,190,230,69,90,750,"(1,1)",230/69 kV step-down,,
SS33,S31,SS33,Western Edge Primary,10,200,230,69,100,800,"(1,1)",230/69 kV step-down,,
SS34,S32,SS34,Southern Primary,8,210,230,69,110,850,"(1,1)",230/69 kV step-down,,
SS35,S33,SS35,Northern Primary,5,220,230,69,120,900,"(1,1)",230/69 kV step-down,,
SS36,S34,SS36,Coastal Primary,6,230,230,69,130,950,"(1,1)",230/69 kV step-down,,
SS37,S35,SS37,Mountain Primary,7,240,230,69,135,1000,"(1,1)",230/69 kV step-down,,
SS38,S36,SS38,Valley Primary,8,250,230,69,140,1050,"(1,1)",230/69 kV step-down,,
SS39,S37,SS39,River Primary,9,260,230,69,145,1100,"(1,1)",230/69 kV step-down,,
SS40,S38,SS40,Lake Primary,10,270,230,69,150,1150,"(1,1)",230/69 kV step-down,,
SS41,S39,SS41,Harbor Primary,11,280,230,69,155,1200,"(1,1)",230/69 kV step-down,,
SS42,S40,SS42,Bay Primary,12,290,230,69,160,1250,"(1,1)",230/69 kV step-down,,
SS43,S41,SS43,Plains Primary,6,300,230,69,165,1300,"(1,1)",230/69 kV step-down,,
SS44,S42,SS44,High Plains Primary,7,310,230,69,170,1350,"(1,1)",230/69 kV step-down,,
SS45,S43,SS45,Central Plains Primary,8,320,230,69,175,1400,"(1,1)",230/69 kV step-down,,
SS46,S44,SS46,Lowlands Primary,9,330,230,69,180,1450,"(1,1)",230/69 kV step-down,,
SS47,S45,SS47,Misty Mountains Primary,10,340,230,69,185,1500,"(1,1)",230/69 kV step-down,,
SS48,S46,SS48,Rocky Mountains Primary,11,350,230,69,190,1550,"(1,1)",230/69 kV step-down,,
SS49,S47,SS49,Foothills Primary,12,360,230,69,195,1600,"(1,1)",230/69 kV step-down,,
SS50,S48,SS50,Cascade Mountains Primary,13,370,230,69,200,1650,"(1,1)",230/69 kV step-down,,
SS51,S49,SS51,Eastern Range Primary,10,380,230,69,205,1700,"(1,1)",230/69 kV step-down,,
SS52,S50,SS52,Western Range Primary,11,390,230,69,210,1750,"(1,1)",230/69 kV step-down,,
SS53,S51,SS53,Northern Range Primary,12,400,230,69,215,1800,"(1,1)",230/69 kV step-down,,
SS54,S52,SS54,Southern Range Primary,13,410,230,69,220,1850,"(1,1)",230/69 kV step-down,,
SS55,S53,SS55,Northern Woods Primary,14,420,230,69,225,1900,"(1,1)",230/69 kV step-down,,
SS56,S54,SS56,Southern Woods Primary,15,430,230,69,230,1950,"(1,1)",230/69 kV step-down,,
SS57,S55,SS57,Central Woods Primary,16,440,230,69,235,2000,"(1,1)",230/69 kV step-down,,
SS58,S56,SS58,Marshlands Primary,17,450,230,69,240,2050,"(1,1)",230/69 kV step-down,,
SS59,S57,SS59,Wetlands Primary,18,460,230,69,245,2100,"(1,1)",230/69 kV step-down,,
SS60,S58,SS60,Swamplands Primary,19,470,230,69,250,2150,"(1,1)",230/69 kV step-down,,
SS61,S59,SS61,Riverbanks Primary,20,480,230,69,255,2200,"(1,1)",230/69 kV step-down,,
SS62,S60,SS62,Delta Primary,21,490,230,69,260,2250,"(1,1)",230/69 kV step-down,,
SS63,S61,SS63,Bayou Primary,22,500,230,69,265,2300,"(1,1)",230/69 kV step-down,,
SS64,S62,SS64,Gulf Primary,23,510,230,69,270,2350,"(1,1)",230/69 kV step-down,,
SS65,S63,SS65,Ocean Primary,24,520,230,69,275,2400,"(1,1)",230/69 kV step-down,,
SS66,S64,SS66,Coastal Plains Primary,25,530,230,69,280,2450,"(1,1)",230/69 kV step-down,,
SS67,S65,SS67,Ridge Primary,26,540,230,69,285,2500,"(1,1)",230/69 kV step-down,,
SS68,S66,SS68,Summit Primary,27,550,230,69,290,2550,"(1,1)",230/69 kV step-down,,
SS69,S67,SS69,Mountain Ridge Primary,28,560,230,69,295,2600,"(1,1)",230/69 kV step-down,,
SS70,S68,SS70,High Peak Primary,29,570,230,69,300,2650,"(1,1)",230/69 kV step-down,,
SS71,S69,SS71,Valley View Primary,30,580,230,69,305,2700,"(1,1)",230/69 kV step-down,,
SS72,S70,SS72,Sunset Ridge Primary,23,590,230,69,310,2750,"(1,1)",230/69 kV step-down,,
SS73,S71,SS73,Sunrise Valley Primary,22,600,230,69,315,2800,"(1,1)",230/69 kV step-down,,
SS74,S72,SS74,Forest Edge Primary,24,610,230,69,320,2850,"(1,1)",230/69 kV step-down,,
SS75,S73,SS75,Cedar Grove Primary,25,620,230,69,325,2900,"(1,1)",230/69 kV step-down,,
SS76,S74,SS76,Oak Valley Primary,26,630,230,69,330,2950,"(1,1)",230/69 kV step-down,,
SS77,S75,SS77,Maple Hill Primary,27,640,230,69,335,3000,"(1,1)",230/69 kV step-down,,
SS78,S76,SS78,Birchwood Primary,28,650,230,69,340,3050,"(1,1)",230/69 kV step-down,,
SS79,S77,SS79,Pine Valley Primary,29,660,230,69,345,3100,"(1,1)",230/69 kV step-down,,
SS80,S78,SS80,Willow Bend Primary,30,670,230,69,350,3150,"(1,1)",230/69 kV step-down,,
SS81,S79,SS81,Riverbend Primary,31,680,230,69,355,3200,"(1,1)",230/69 kV step-down,,
SS82,S80,SS82,Canyon View Primary,32,690,230,69,360,3250,"(1,1)",230/69 kV step-down,,
SS83,S81,SS83,Hillside Primary,33,700,230,69,365,3300,"(1,1)",230/69 kV step-down,,
SS84,S82,SS84,Crestline Primary,34,710,230,69,370,3350,"(1,1)",230/69 kV step-down,,
SS85,S83,SS85,Summit View Primary,35,720,230,69,375,3400,"(1,1)",230/69 kV step-down,,
SS86,S84,SS86,Peak View Primary,36,730,230,69,380,3450,"(1,1)",230/69 kV step-down,,
SS87,S85,SS87,Horizon Primary,37,740,230,69,385,3500,"(1,1)",230/69 kV step-down,,
SS88,S86,SS88,Skyline Primary,38,750,230,69,390,3550,"(1,1)",230/69 kV step-down,,
SS89,S87,SS89,Vista Primary,39,760,230,69,395,3600,"(1,1)",230/69 kV step-down,,
SS90,S88,SS90,Outlook Primary,40,770,230,69,400,3650,"(1,1)",230/69 kV step-down,,
SS91,S89,SS91,Viewing Point Primary,41,780,230,69,405,3700,"(1,1)",230/69 kV step-down,,
SS92,S90,SS92,High Point Primary,42,790,230,69,410,3750,"(1,1)",230/69 kV step-down,,
SS93,S91,SS93,Overlook Primary,43,800,230,69,415,3800,"(1,1)",230/69 kV step-down,,
SS94,S92,SS94,Edge View Primary,44,810,230,69,420,3850,"(1,1)",230/69 kV step-down,,
SS95,S93,SS95,Cliffside Primary,45,820,230,69,425,3900,"(1,1)",230/69 kV step-down,,
SS96,S94,SS96,Ridge Top Primary,46,830,230,69,430,3950,"(1,1)",230/69 kV step-down,,
SS97,S95,SS97,Bluff View Primary,47,840,230,69,435,4000,"(1,1)",230/69 kV step-down,,
SS98,S96,SS98,Heights Primary,48,850,230,69,440,4050,"(1,1)",230/69 kV step-down,,
SS99,S97,SS99,Pinnacle Primary,49,860,230,69,445,4100,"(1,1)",230/69 kV step-down,,
SS100,S98,SS100,Apex Primary,50,870,230,69,450,4150,"(1,1)",230/69 kV step-down,,
Layer 4 - Secondary Substations (Step-down Transformers),,,,,,,,,,,,,
Node ID,From,To,Description,Distance (km),Energy Transmitted (MWh),HV Level (kV),LV Level (kV),Apparent Power (MVA),Ampacity (A),"Vector (x,y)",Notes,,
SS1,MD1,SS1,Urban Substation A,2,150,69,13.8,50,418,"(1,0)",Residential/commercial,,
SS2,MD2,SS2,Urban Substation B,3,100,69,13.8,40,334,"(1,1)",Residential/commercial,,
SS3,R1,SS3,Rural Substation A,4,30,69,13.8,15,125,"(1,1)",Rural distribution,,
SS4,R2,SS4,Rural Substation B,5,20,69,13.8,10,84,"(-1,-1)",Rural distribution,,
SS5,MD3,SS5,Central Urban,3,120,69,13.8,45,376,"(1,1)",Mixed load,,
SS6,MD4,SS6,Industrial Substation,2.5,140,69,13.8,55,460,"(1,1)",Industrial load,,
SS7,R3,SS7,South Rural,4.5,35,69,13.8,18,150,"(1,1)",Rural distribution,,
SS8,MD5,SS8,North Urban,3,110,69,13.8,48,390,"(2,0)",Residential/commercial,,
SS9,MD6,SS9,East Urban,4,95,69,13.8,42,360,"(2,1)",Residential/commercial,,
SS10,R4,SS10,West Rural,4.5,25,69,13.8,12,100,"(-1,-1)",Rural distribution,,
SS11,R5,SS11,North Rural,5,15,69,13.8,10,80,"(0,-1)",Rural distribution,,
SS12,MD7,SS12,South Urban,3.5,130,69,13.8,50,420,"(1,1)",Mixed load,,
SS13,MD8,SS13,Central Industrial,2,160,69,13.8,60,480,"(1,0)",Industrial load,,
SS14,R6,SS14,East Rural,4,28,69,13.8,14,120,"(-1,1)",Rural distribution,,
SS15,R7,SS15,West Rural,3,22,69,13.8,13,110,"(1,-1)",Rural distribution,,
SS16,MD9,SS16,Urban Substation C,2.5,150,69,13.8,55,460,"(1,1)",Residential/commercial,,
SS17,MD10,SS17,Urban Substation D,3,145,69,13.8,52,440,"(2,1)",Residential/commercial,,
SS18,R8,SS18,Rural Substation C,4,35,69,13.8,18,150,"(1,1)",Rural distribution,,
SS19,R9,SS19,Rural Substation D,5.5,18,69,13.8,9,75,"(-1,-1)",Rural distribution,,
SS20,MD11,SS20,Central Urban 2,3,125,69,13.8,45,376,"(1,1)",Mixed load,,
SS21,MD12,SS21,Industrial Substation 2,2.5,140,69,13.8,55,460,"(1,1)",Industrial load,,
SS22,R10,SS22,South Rural 2,4.5,32,69,13.8,16,140,"(1,1)",Rural distribution,,
SS23,MD13,SS23,Urban Substation E,2,100,69,13.8,40,334,"(1,1)",Residential/commercial,,
SS24,R11,SS24,Rural Substation E,5,20,69,13.8,10,84,"(-1,-1)",Rural distribution,,
SS25,MD14,SS25,Urban Substation F,3,120,69,13.8,50,376,"(1,1)",Mixed load,,
SS26,MD15,SS26,Industrial Substation 3,2.5,140,69,13.8,55,460,"(1,1)",Industrial load,,
SS27,R12,SS27,South Rural 3,4.5,30,69,13.8,15,125,"(1,1)",Rural distribution,,
SS28,R13,SS28,North Rural 2,4,28,69,13.8,14,120,"(1,1)",Rural distribution,,
SS29,MD16,SS29,East Urban 2,4,110,69,13.8,45,390,"(1,1)",Residential/commercial,,
SS30,MD17,SS30,West Urban 2,3,115,69,13.8,42,360,"(1,1)",Residential/commercial,,
SS31,R14,SS31,West Rural 2,4,35,69,13.8,16,140,"(1,1)",Rural distribution,,
SS32,R15,SS32,South Rural 4,5,25,69,13.8,12,100,"(1,1)",Rural distribution,,
SS33,MD18,SS33,Urban Substation G,2.5,130,69,13.8,50,418,"(1,0)",Residential/commercial,,
SS34,MD19,SS34,Urban Substation H,3,100,69,13.8,40,334,"(1,1)",Residential/commercial,,
SS35,R16,SS35,Rural Substation F,4,32,69,13.8,14,120,"(1,1)",Rural distribution,,
SS36,R17,SS36,Rural Substation G,5,22,69,13.8,12,100,"(-1,-1)",Rural distribution,,
SS37,MD20,SS37,Central Urban 3,3,140,69,13.8,50,376,"(1,1)",Mixed load,,
SS38,MD21,SS38,Industrial Substation 4,2,160,69,13.8,60,480,"(1,0)",Industrial load,,
SS39,R18,SS39,East Rural 2,4,25,69,13.8,10,84,"(-1,1)",Rural distribution,,
SS40,R19,SS40,West Rural 3,3,20,69,13.8,10,80,"(0,-1)",Rural distribution,,
SS41,MD22,SS41,South Urban 2,3.5,130,69,13.8,50,418,"(1,1)",Mixed load,,
SS42,MD23,SS42,Central Industrial 2,2,160,69,13.8,60,480,"(1,0)",Industrial load,,
SS43,R20,SS43,North Rural 3,4,35,69,13.8,18,150,"(1,1)",Rural distribution,,
SS44,R21,SS44,South Rural 5,5.5,18,69,13.8,9,75,"(-1,-1)",Rural distribution,,
SS45,MD24,SS45,Urban Substation I,3,125,69,13.8,45,376,"(1,1)",Mixed load,,
SS46,MD25,SS46,Industrial Substation 5,2.5,140,69,13.8,55,460,"(1,1)",Industrial load,,
SS47,R22,SS47,South Rural 6,4.5,32,69,13.8,16,140,"(1,1)",Rural distribution,,
SS48,R23,SS48,West Rural 4,4,28,69,13.8,14,120,"(1,1)",Rural distribution,,
SS49,MD26,SS49,Urban Substation J,2.5,130,69,13.8,50,418,"(1,0)",Residential/commercial,,
SS50,MD27,SS50,Urban Substation K,3,100,69,13.8,40,334,"(1,1)",Residential/commercial,,
SS51,R24,SS51,Rural Substation H,4,32,69,13.8,14,120,"(1,1)",Rural distribution,,
SS52,R25,SS52,Rural Substation I,4,25,69,13.8,12,100,"(1,1)",Rural distribution,,
SS53,MD28,SS53,Central Urban 4,3,140,69,13.8,50,376,"(1,1)",Mixed load,,
SS54,MD29,SS54,Industrial Substation 6,2,160,69,13.8,60,480,"(1,0)",Industrial load,,
SS55,R26,SS55,East Rural 3,4,25,69,13.8,10,84,"(-1,1)",Rural distribution,,
SS56,R27,SS56,West Rural 5,3,20,69,13.8,10,80,"(0,-1)",Rural distribution,,
SS57,MD30,SS57,North Urban 3,3.5,130,69,13.8,50,418,"(1,1)",Mixed load,,
SS58,MD31,SS58,Central Industrial 3,2,160,69,13.8,60,480,"(1,0)",Industrial load,,
SS59,R28,SS59,North Rural 4,4,35,69,13.8,18,150,"(1,1)",Rural distribution,,
SS60,R29,SS60,South Rural 7,5.5,18,69,13.8,9,75,"(-1,-1)",Rural distribution,,
SS61,MD32,SS61,Urban Substation L,3,125,69,13.8,45,376,"(1,1)",Mixed load,,
SS62,MD33,SS62,Industrial Substation 7,2.5,140,69,13.8,55,460,"(1,1)",Industrial load,,
SS63,R30,SS63,South Rural 8,4.5,32,69,13.8,16,140,"(1,1)",Rural distribution,,
SS64,R31,SS64,West Rural 6,4,28,69,13.8,14,120,"(1,1)",Rural distribution,,
SS65,MD34,SS65,Urban Substation M,2.5,130,69,13.8,50,418,"(1,0)",Residential/commercial,,
SS66,MD35,SS66,Urban Substation N,3,100,69,13.8,40,334,"(1,1)",Residential/commercial,,
SS67,R32,SS67,Rural Substation J,4,32,69,13.8,14,120,"(1,1)",Rural distribution,,
SS68,R33,SS68,Rural Substation K,4,25,69,13.8,12,100,"(1,1)",Rural distribution,,
SS69,MD36,SS69,Central Urban 5,3,140,69,13.8,50,376,"(1,1)",Mixed load,,
SS70,MD37,SS70,Industrial Substation 8,2,160,69,13.8,60,480,"(1,0)",Industrial load,,
SS71,R34,SS71,East Rural 4,4,25,69,13.8,10,84,"(-1,1)",Rural distribution,,
SS72,R35,SS72,West Rural 7,3,20,69,13.8,50,376,"(1,1)",Mixed load,,
SS73,R36,SS73,South Rural 9,4.5,30,69,13.8,15,125,"(1,1)",Rural distribution,,
SS74,R37,SS74,North Rural 5,4,28,69,13.8,14,120,"(1,1)",Rural distribution,,
SS75,MD38,SS75,Urban Substation O,2.5,130,69,13.8,50,418,"(1,0)",Residential/commercial,,
SS76,MD39,SS76,Urban Substation P,3,100,69,13.8,40,334,"(1,1)",Residential/commercial,,
SS77,R38,SS77,Rural Substation L,4,32,69,13.8,14,120,"(1,1)",Rural distribution,,
SS78,R39,SS78,Rural Substation M,4,25,69,13.8,12,100,"(1,1)",Rural distribution,,
SS79,MD40,SS79,Central Urban 6,3,140,69,13.8,50,376,"(1,1)",Mixed load,,
SS80,MD41,SS80,Industrial Substation 9,2,160,69,13.8,60,480,"(1,0)",Industrial load,,
SS81,R40,SS81,East Rural 5,4,35,69,13.8,18,150,"(1,1)",Rural distribution,,
SS82,R41,SS82,West Rural 8,5.5,18,69,13.8,9,75,"(-1,-1)",Rural distribution,,
SS83,MD42,SS83,Urban Substation Q,3,125,69,13.8,45,376,"(1,1)",Mixed load,,
SS84,MD43,SS84,Industrial Substation 10,2.5,140,69,13.8,55,460,"(1,1)",Industrial load,,
SS85,R42,SS85,South Rural 10,4.5,32,69,13.8,16,140,"(1,1)",Rural distribution,,
SS86,R43,SS86,West Rural 9,4,28,69,13.8,14,120,"(1,1)",Rural distribution,,
SS87,MD44,SS87,Urban Substation R,2.5,130,69,13.8,50,418,"(1,0)",Residential/commercial,,
SS88,MD45,SS88,Urban Substation S,3,100,69,13.8,40,334,"(1,1)",Residential/commercial,,
SS89,R44,SS89,Rural Substation N,4,32,69,13.8,14,120,"(1,1)",Rural distribution,,
SS90,R45,SS90,Rural Substation O,4,25,69,13.8,12,100,"(1,1)",Rural distribution,,
SS91,MD46,SS91,Central Urban 7,3,140,69,13.8,50,376,"(1,1)",Mixed load,,
SS92,MD47,SS92,Industrial Substation 11,2,160,69,13.8,60,480,"(1,0)",Industrial load,,
SS93,R46,SS93,East Rural 6,4,25,69,13.8,10,84,"(-1,1)",Rural distribution,,
SS94,R47,SS94,West Rural 10,3,20,69,13.8,10,80,"(0,-1)",Rural distribution,,
SS95,MD48,SS95,North Urban 4,3.5,130,69,13.8,50,418,"(1,1)",Mixed load,,
SS96,MD49,SS96,Central Industrial 4,2,160,69,13.8,60,480,"(1,0)",Industrial load,,
SS97,R48,SS97,North Rural 6,4,35,69,13.8,18,150,"(1,1)",Rural distribution,,
SS98,R49,SS98,South Rural 11,5.5,18,69,13.8,9,75,"(-1,-1)",Rural distribution,,
SS99,MD50,SS99,Urban Substation T,3,125,69,13.8,45,376,"(1,1)",Mixed load,,
SS100,MD51,SS100,Industrial Substation 12,2.5,140,69,13.8,55,460,"(1,1)",Industrial load,,
Layer 5 - Distribution Feeders,,,,,,,,,,,,,
Node ID,From,To,Description,Distance (km),Energy Transmitted (MWh),Voltage Level (kV),Ampacity (A),Coordinates,"Vector (x,y)",Notes,,,
EP1,MD1,EP1,Pole Cluster 1,0.8,25,13.8/0.4,180,"(9,15) → (9.5,15.5)","(0.5,0.5)",Step-down transformer,,,
EP2,MD1,EP2,Pole Cluster 2,1.1,30,13.8/0.4,220,"(9,15) → (10,16)","(1,1)",Step-down transformer,,,
EP3,MD2,EP3,Pole Cluster 3,1.4,35,13.8/0.4,260,"(7,17) → (8,18)","(1,1)",Step-down transformer,,,
EP4,MD2,EP4,Pole Cluster 4,1.2,32,13.8/0.4,240,"(7,17) → (6,18)","(-1,1)",Step-down transformer,,,
EP5,R1,EP5,Pole Cluster 5,2,15,13.8/0.4,120,"(5,19) → (7,21)","(2,2)",Long rural feeder,,,
EP6,R1,EP6,Pole Cluster 6,1.8,12,13.8/0.4,100,"(5,19) → (3,20)","(-2,1)",Village distribution,,,
EP7,R2,EP7,Pole Cluster 7,2.5,8,13.8/0.4,80,"(1,13) → (-1,15)","(-2,2)",Sparse load density,,,
EP8,R2,EP8,Pole Cluster 8,2.2,10,13.8/0.4,90,"(1,13) → (3,11)","(2,-2)",Farm/irrigation loads,,,
EP9,MD3,EP9,Pole Cluster 9,0.9,40,13.8/0.4,300,"(14,8) → (14.5,8.5)","(0.5,0.5)",High density commercial,,,
EP10,MD3,EP10,Pole Cluster 10,1,28,13.8/0.4,210,"(14,8) → (15,9)","(1,1)",Planned residential,,,
EP11,MD4,EP11,Pole Cluster 11,0.7,50,13.8/0.4,380,"(10,5) → (10.5,5.5)","(0.5,0.5)",Manufacturing loads,,,
EP12,MD4,EP12,Pole Cluster 12,0.8,45,13.8/0.4,340,"(10,5) → (11,6)","(1,1)",Manufacturing loads,,,
EP13,R3,EP13,Pole Cluster 13,1.9,18,13.8/0.4,140,"(7,-15) → (9,-14)","(2,1)",Rural community center,,,
EP14,R3,EP14,Pole Cluster 14,2.1,14,13.8/0.4,110,"(7,-15) → (5,-13)","(-2,2)",Cooperative facilities,,,
EP15,MD5,EP15,Pole Cluster 15,1,22,13.8/0.4,130,"(9,16) → (10,17)","(1,1)",Mixed load,,,
EP16,MD5,EP16,Pole Cluster 16,1.2,18,13.8/0.4,120,"(9,16) → (8,17)","(-1,1)",Mixed load,,,
EP17,R4,EP17,Pole Cluster 17,2,25,13.8/0.4,150,"(6,-16) → (7,-17)","(1,1)",Rural distribution,,,
EP18,R5,EP18,Pole Cluster 18,1.5,20,13.8/0.4,100,"(4,-14) → (5,-15)","(1,1)",Rural distribution,,,
EP19,MD6,EP19,Pole Cluster 19,1.8,30,13.8/0.4,160,"(10,4) → (11,5)","(1,1)",Urban feeder,,,
EP20,MD7,EP20,Pole Cluster 20,1.3,28,13.8/0.4,150,"(11,6) → (12,7)","(1,1)",Mixed load,,,
EP21,R6,EP21,Pole Cluster 21,1.6,15,13.8/0.4,120,"(3,-20) → (4,-21)","(1,1)",Rural distribution,,,
EP22,R7,EP22,Pole Cluster 22,2.2,12,13.8/0.4,100,"(2,-19) → (1,-20)","(-1,-1)",Rural distribution,,,
EP23,MD8,EP23,Pole Cluster 23,0.9,38,13.8/0.4,240,"(8,15) → (8.5,16)","(0.5,1)",High-density residential,,,
EP24,MD9,EP24,Pole Cluster 24,1.1,20,13.8/0.4,130,"(9,16) → (10,17)","(1,1)",Mixed load,,,
EP25,R8,EP25,Pole Cluster 25,1.4,10,13.8/0.4,80,"(5,-13) → (6,-14)","(1,1)",Sparse load density,,,
EP26,R9,EP26,Pole Cluster 26,1.7,15,13.8/0.4,100,"(3,-15) → (4,-16)","(1,1)",Rural distribution,,,
EP27,MD10,EP27,Pole Cluster 27,1,30,13.8/0.4,200,"(10,6) → (10.5,6.5)","(0.5,0.5)",Urban area,,,
EP28,MD11,EP28,Pole Cluster 28,1.2,28,13.8/0.4,180,"(10,7) → (10.5,7.5)","(0.5,0.5)",Industrial area,,,
EP29,R10,EP29,Pole Cluster 29,2,22,13.8/0.4,120,"(6,-15) → (7,-16)","(1,1)",Rural distribution,,,
EP30,R11,EP30,Pole Cluster 30,1.5,20,13.8/0.4,100,"(5,-14) → (6,-15)","(1,1)",Rural distribution,,,
EP31,MD12,EP31,Pole Cluster 31,1,30,13.8/0.4,200,"(14,9) → (14.5,9.5)","(0.5,0.5)",Urban area,,,
EP32,MD13,EP32,Pole Cluster 32,1.1,35,13.8/0.4,220,"(12,8) → (12.5,8.5)","(0.5,0.5)",High-density residential,,,
EP33,R12,EP33,Pole Cluster 33,1.8,15,13.8/0.4,120,"(7,-14) → (8,-15)","(1,1)",Rural community,,,
EP34,R13,EP34,Pole Cluster 34,2.2,10,13.8/0.4,90,"(5,-12) → (6,-13)","(1,1)",Cooperative facilities,,,
EP35,MD14,EP35,Pole Cluster 35,1.5,20,13.8/0.4,130,"(8,10) → (8.5,10.5)","(0.5,0.5)",Mixed load,,,
EP36,MD15,EP36,Pole Cluster 36,1.2,25,13.8/0.4,140,"(9,11) → (9.5,11.5)","(0.5,0.5)",Mixed load,,,
EP37,R14,EP37,Pole Cluster 37,2,18,13.8/0.4,100,"(4,-14) → (5,-15)","(1,1)",Rural distribution,,,
EP38,R15,EP38,Pole Cluster 38,1.5,15,13.8/0.4,80,"(3,-13) → (4,-14)","(1,1)",Rural distribution,,,
EP39,MD16,EP39,Pole Cluster 39,1.4,25,13.8/0.4,150,"(10,10) → (10.5,10.5)","(0.5,0.5)",Urban feeder,,,
EP40,MD17,EP40,Pole Cluster 40,1.6,30,13.8/0.4,160,"(11,11) → (11.5,11.5)","(0.5,0.5)",Mixed load,,,
EP41,R16,EP41,Pole Cluster 41,1.8,12,13.8/0.4,100,"(5,-15) → (6,-16)","(1,1)",Sparse load density,,,
EP42,R17,EP42,Pole Cluster 42,2,10,13.8/0.4,90,"(4,-16) → (5,-17)","(1,1)",Rural distribution,,,
EP43,MD18,EP43,Pole Cluster 43,1.2,30,13.8/0.4,200,"(12,10) → (12.5,10.5)","(0.5,0.5)",Urban area,,,
EP44,MD19,EP44,Pole Cluster 44,1.4,28,13.8/0.4,180,"(13,11) → (13.5,11.5)","(0.5,0.5)",High-density residential,,,
EP45,R18,EP45,Pole Cluster 45,1.8,15,13.8/0.4,120,"(6,-17) → (7,-18)","(1,1)",Rural community center,,,
EP46,R19,EP46,Pole Cluster 46,2.2,10,13.8/0.4,90,"(5,-18) → (4,-19)","(-1,-1)",Cooperative facilities,,,
EP47,MD20,EP47,Pole Cluster 47,1.5,22,13.8/0.4,130,"(14,7) → (14.5,7.5)","(0.5,0.5)",Mixed load,,,
EP48,MD21,EP48,Pole Cluster 48,1.3,20,13.8/0.4,120,"(15,8) → (15.5,8.5)","(0.5,0.5)",Urban area,,,
EP49,R20,EP49,Pole Cluster 49,2,18,13.8/0.4,100,"(8,-12) → (9,-13)","(1,1)",Rural distribution,,,
EP50,R21,EP50,Pole Cluster 50,1.8,15,13.8/0.4,90,"(7,-11) → (8,-12)","(1,1)",Rural distribution,,,
EP51,MD22,EP51,Pole Cluster 51,1,30,13.8/0.4,200,"(10,8) → (10.5,8.5)","(0.5,0.5)",Urban area,,,
EP52,MD23,EP52,Pole Cluster 52,1.2,28,13.8/0.4,180,"(11,9) → (11.5,9.5)","(0.5,0.5)",High-density residential,,,
EP53,R22,EP53,Pole Cluster 53,1.4,15,13.8/0.4,120,"(6,-13) → (7,-14)","(1,1)",Rural distribution,,,
EP54,R23,EP54,Pole Cluster 54,2,10,13.8/0.4,90,"(5,-14) → (4,-15)","(-1,-1)",Cooperative facilities,,,
EP55,MD24,EP55,Pole Cluster 55,1.5,20,13.8/0.4,130,"(10,10) → (10.5,10.5)","(0.5,0.5)",Mixed load,,,
EP56,MD25,EP56,Pole Cluster 56,1.2,25,13.8/0.4,140,"(11,11) → (11.5,11.5)","(0.5,0.5)",Mixed load,,,
EP57,R24,EP57,Pole Cluster 57,1.8,12,13.8/0.4,100,"(5,-15) → (6,-16)","(1,1)",Sparse load density,,,
EP58,R25,EP58,Pole Cluster 58,2,10,13.8/0.4,100,"(5,-15) → (6,-16)","(1,1)",Sparse load density,,,
